Day,Remaining Pool (Qube),Daily Ticket Sales,Daily Rewards Paid,Qube Price ($),Penalty Contributions
1415,10585522.31885345,100000,1941.5759793114198,3.8157934229681214e+124,194.157597931142
1416,10581693.126716854,100000,1941.226495635144,5.317216228104049e+124,194.12264956351441
1417,10577863.934580259,100000,1940.8770748659297,7.409993247496232e+124,194.087707486593
1418,10574034.742443662,100000,1940.5277169924536,1.0327264930622762e+125,194.05277169924537
1419,10570205.550307065,100000,1940.1784220033949,1.4394176747457133e+125,194.0178422003395
1420,10566376.35817047,100000,1939.829189887434,2.0064222802677744e+125,193.98291898874342
1421,10562547.166033875,100000,1939.4800206332545,2.7969959759523716e+125,193.94800206332548
1422,10558717.973897278,100000,1939.1309142295404,3.899377861123694e+125,193.91309142295404
1423,10554888.781760683,100000,1938.781870664979,5.436667504666051e+125,193.8781870664979
1424,10551059.589624088,100000,1938.432889928259,7.580610586853855e+125,193.84328899282593
1425,10547230.397487491,100000,1938.0839720080721,1.057084137944571e+126,193.80839720080724
1426,10543401.205350894,100000,1937.7351168931102,1.4741744156466835e+126,193.77351168931102
1427,10539572.0132143,100000,1937.3863245720693,2.0559953110607474e+126,193.73863245720693
1428,10535742.821077704,100000,1937.0375950336465,2.8676708235279727e+126,193.70375950336467
1429,10531913.628941108,100000,1936.6889282665402,4.000095818212344e+126,193.66889282665403
1430,10528084.43680451,100000,1936.3403242594522,5.580143937900906e+126,193.63403242594524
1431,10524255.244667917,100000,1935.9917830010854,7.784922797228888e+126,193.59917830010855
1432,10520426.05253132,100000,1935.6433044801452,1.086168268874308e+127,193.56433044801452
1433,10516596.860394724,100000,1935.2948886853385,1.5155623099539814e+127,193.52948886853386
1434,10512767.668258129,100000,1934.9465356053756,2.114873311979172e+127,193.49465356053759
1435,10508938.476121534,100000,1934.5982452289663,2.951404829958095e+127,193.45982452289664
1436,10505109.283984937,100000,1934.2500175448251,4.11914488858607e+127,193.42500175448254
1437,10501280.09184834,100000,1933.9018525416673,5.749356012491961e+127,193.39018525416674
1438,10497450.899711745,100000,1933.5537502082095,8.025372063972145e+127,193.35537502082096
1439,10493621.70757515,100000,1933.2057105331724,1.120327460978624e+128,193.32057105331725
1440,10489792.515438553,100000,1932.8577335052764,1.5640787285311846e+128,193.28577335052765
1441,10485963.323301958,100000,1932.5098191132454,2.1837657591865757e+128,193.25098191132454
1442,10482134.131165363,100000,1932.1619673458054,3.0492097510462297e+128,193.21619673458054
1443,10478304.939028766,100000,1931.814178191683,4.2579675214180366e+128,193.1814178191683
1444,10474475.74689217,100000,1931.4664516396083,5.946359705981563e+128,193.14664516396084
1445,10470646.554755574,100000,1931.1187876783133,8.304888167068153e+128,193.11187876783134
1446,10466817.362618979,100000,1930.7711862965314,1.1599791175570651e+129,193.07711862965314
1447,10462988.170482382,100000,1930.4236474829981,1.6203182182650125e+129,193.04236474829983
1448,10459158.978345785,100000,1930.0761712264512,2.2635193546198742e+129,193.00761712264512
1449,10455329.78620919,100000,1929.7287575156302,3.1622911605857903e+129,192.97287575156304
1450,10451500.594072595,100000,1929.3814063392774,4.418279965288057e+129,192.93814063392776
1451,10447671.401935998,100000,1929.0341176861366,6.173597851755249e+129,192.90341176861367
